id,created_at,nombre,tipo,barrio,crew,descripcion,instagram,youtube,spotify,soundcloud,genius,entrevista,avatar_url,collabs,iniciales,manager_nombre,manager_email,manager_instagram,lat,lng
6,2026-03-12 18:53:27.212476+00,alsina.carson,prod_mc,Valentín Alsina,Cielorroto,,,,,,,,,"[""NORMAN BATES"",""OSSERVATORE""]",AC,,,,-34.672076,-58.413707
7,2026-03-12 18:54:02.811253+00,FAKU1200,prod_mc,Villa Celina,Souljaz,,,,,,,,,"[""J Walk"",""ZKT""]",F,,,,-34.706015,-58.480506
12,2026-03-12 20:00:35.171544+00,Nikholajara,mc,Remedios de Escalada,,,https://www.instagram.com/nikholajara/,,,,,,,"[""L Gonzz"",""Osservatore"",""N Muñoz""]",N,,,,-34.7238,-58.397661
